
04/28/2022_22:14:36,idle1.00end of line
04/28/2022_22:14:39,idle1.00end of line
04/28/2022_22:14:42,idle1.00end of line
04/28/2022_22:14:45,idle1.00end of line
04/28/2022_22:14:48,idle1.00end of line
04/28/2022_22:14:51,idle1.00end of line
04/28/2022_22:14:54,idle1.00end of line
04/28/2022_22:14:57,idle1.00end of line
04/28/2022_22:15:01,idle1.00end of line
04/28/2022_22:15:04,idle1.00end of line
04/28/2022_22:15:07,idle1.00end of line
04/28/2022_22:15:10,idle1.00end of line
04/28/2022_22:15:13,idle1.00end of line
04/28/2022_22:15:16,idle1.00end of line
04/28/2022_22:15:19,idle1.00end of line
04/28/2022_22:15:22,idle1.00end of line
04/28/2022_22:15:25,idle1.00end of line
04/28/2022_22:15:29,idle1.00end of line
04/28/2022_22:15:32,idle1.00end of line
04/28/2022_22:15:35,idle1.00end of line
04/28/2022_22:15:38,idle1.00end of line
04/28/2022_22:15:41,idle1.00end of line
04/28/2022_22:15:44,idle1.00end of line
04/28/2022_22:15:47,idle1.00end of line
04/28/2022_22:15:50,idle1.00end of line
04/28/2022_22:15:53,idle1.00end of line
04/28/2022_22:15:57,normal_walk0.98end of line
04/28/2022_22:16:00,normal_walk0.92end of line
04/28/2022_22:16:03,fall0.98end of line
04/28/2022_22:17:18,idle1.00end of line
04/28/2022_22:17:21,idle1.00end of line
04/28/2022_22:17:24,idle1.00end of line
04/28/2022_22:17:27,idle1.00end of line
04/28/2022_22:17:31,idle1.00end of line
04/28/2022_22:17:34,idle1.00end of line
04/28/2022_22:17:37,idle1.00end of line
04/28/2022_22:17:40,idle1.00end of line
04/28/2022_22:17:43,idle1.00end of line
04/28/2022_22:17:46,idle1.00end of line
04/28/2022_22:17:49,idle1.00end of line
04/28/2022_22:17:52,idle1.00end of line
04/28/2022_22:17:55,idle1.00end of line
04/28/2022_22:17:59,idle1.00end of line
04/28/2022_22:18:02,idle1.00end of line
04/28/2022_22:18:05,idle1.00end of line
04/28/2022_22:18:08,idle1.00end of line
04/28/2022_22:18:11,idle1.00end of line
04/28/2022_22:18:14,idle1.00end of line
04/28/2022_22:18:17,idle1.00end of line
04/28/2022_22:18:20,idle1.00end of line
04/28/2022_22:18:23,idle1.00end of line
04/28/2022_22:18:27,uncertain0.60end of line
04/28/2022_22:18:30,normal_walk0.90end of line
04/28/2022_22:18:33,idle1.00end of line
04/28/2022_22:18:36,idle1.00end of line
04/28/2022_22:18:39,idle1.00end of line
04/28/2022_22:18:42,idle1.00end of line
04/28/2022_22:18:45,idle1.00end of line
04/28/2022_22:18:48,idle1.00end of line
04/28/2022_22:18:51,idle1.00end of line
04/28/2022_22:18:55,idle1.00end of line
04/28/2022_22:18:58,idle1.00end of line
04/28/2022_22:19:01,idle1.00end of line
04/28/2022_22:19:04,idle1.00end of line
04/28/2022_22:19:07,idle1.00end of line
04/28/2022_22:19:10,idle1.00end of line
04/28/2022_22:19:13,idle1.00end of line
04/28/2022_22:19:16,idle1.00end of line
04/28/2022_22:19:19,idle1.00end of line
04/28/2022_22:19:23,idle1.00end of line
04/28/2022_22:19:26,idle1.00end of line
04/28/2022_22:19:29,idle1.00end of line
04/28/2022_22:19:32,idle1.00end of line
04/28/2022_22:19:35,idle1.00end of line
04/28/2022_22:19:38,idle1.00end of line
04/28/2022_22:19:41,idle1.00end of line
04/28/2022_22:19:44,idle1.00end of line
04/28/2022_22:19:48,idle1.00end of line
04/28/2022_22:19:51,idle1.00end of line
04/28/2022_22:19:54,idle1.00end of line
04/28/2022_22:19:57,idle1.00end of line
04/28/2022_22:20:00,idle1.00end of line
04/28/2022_22:20:03,idle1.00end of line
04/28/2022_22:20:06,idle1.00end of line
04/28/2022_22:20:09,idle1.00end of line
04/28/2022_22:20:12,idle1.00end of line
04/28/2022_22:20:15,idle1.00end of line
04/28/2022_22:20:19,idle1.00end of line
04/28/2022_22:20:22,idle1.00end of line
04/28/2022_22:20:25,idle1.00end of line
04/28/2022_22:20:28,idle1.00end of line
04/28/2022_22:20:31,idle1.00end of line
04/28/2022_22:20:34,idle1.00end of line
04/28/2022_22:20:37,idle1.00end of line
04/28/2022_22:20:40,idle1.00end of line
04/28/2022_22:20:43,idle1.00end of line
04/28/2022_22:20:47,idle1.00end of line
04/28/2022_22:20:50,idle1.00end of line
04/28/2022_22:20:53,idle1.00end of line
04/28/2022_22:20:56,idle1.00end of line
04/28/2022_22:20:59,idle1.00end of line
04/28/2022_22:21:02,idle1.00end of line
04/28/2022_22:21:05,idle1.00end of line
04/28/2022_22:21:08,idle1.00end of line
04/28/2022_22:21:11,idle1.00end of line
04/28/2022_22:21:15,idle1.00end of line
04/28/2022_22:21:18,idle1.00end of line
04/28/2022_22:21:21,idle1.00end of line
04/28/2022_22:21:24,idle1.00end of line
04/28/2022_22:21:27,idle1.00end of line
04/28/2022_22:21:30,idle1.00end of line
04/28/2022_22:21:33,idle1.00end of line
04/28/2022_22:21:36,idle1.00end of line
04/28/2022_22:21:39,idle1.00end of line
04/28/2022_22:21:43,idle1.00end of line
04/28/2022_22:21:46,idle1.00end of line
04/28/2022_22:21:49,idle1.00end of line
04/28/2022_22:21:52,idle1.00end of line
04/28/2022_22:21:55,idle1.00end of line
04/28/2022_22:21:58,idle1.00end of line
04/28/2022_22:22:01,idle1.00end of line
04/28/2022_22:22:04,idle1.00end of line
04/28/2022_22:22:07,idle1.00end of line
04/28/2022_22:22:10,idle1.00end of line
04/28/2022_22:22:14,idle1.00end of line
04/28/2022_22:22:17,idle1.00end of line
04/28/2022_22:22:20,idle1.00end of line
04/28/2022_22:22:23,idle1.00end of line
04/28/2022_22:22:26,idle1.00end of line
04/28/2022_22:22:29,idle1.00end of line
04/28/2022_22:22:32,idle1.00end of line
04/28/2022_22:22:35,idle1.00end of line
04/28/2022_22:22:38,idle1.00end of line
04/28/2022_22:22:42,idle1.00end of line
04/28/2022_22:22:45,idle1.00end of line
04/28/2022_22:22:48,idle1.00end of line
04/28/2022_22:22:51,idle1.00end of line
04/28/2022_22:22:54,idle1.00end of line
04/28/2022_22:22:57,idle1.00end of line
04/28/2022_22:23:00,idle1.00end of line
04/28/2022_22:23:03,idle1.00end of line
04/28/2022_22:23:06,idle1.00end of line
04/28/2022_22:23:09,idle1.00end of line
04/28/2022_22:23:13,idle1.00end of line
04/28/2022_22:23:16,idle1.00end of line
04/28/2022_22:23:19,idle1.00end of line
04/28/2022_22:23:22,idle1.00end of line
04/28/2022_22:23:25,idle1.00end of line
04/28/2022_22:23:28,idle1.00end of line
04/28/2022_22:23:31,idle1.00end of line
04/28/2022_22:23:34,idle1.00end of line
04/28/2022_22:23:37,idle1.00end of line
04/28/2022_22:23:41,idle1.00end of line
04/28/2022_22:23:44,idle1.00end of line
04/28/2022_22:23:47,idle1.00end of line
04/28/2022_22:23:50,idle1.00end of line
04/28/2022_22:23:53,idle1.00end of line
04/28/2022_22:23:56,idle1.00end of line
04/28/2022_22:23:59,idle1.00end of line
04/28/2022_22:24:02,idle1.00end of line
04/28/2022_22:24:05,idle1.00end of line
04/28/2022_22:24:09,idle1.00end of line
04/28/2022_22:24:12,idle1.00end of line
04/28/2022_22:24:15,idle1.00end of line
04/28/2022_22:24:18,idle1.00end of line
04/28/2022_22:24:21,idle1.00end of line
04/28/2022_22:24:24,idle1.00end of line
04/28/2022_22:24:27,idle1.00end of line
04/28/2022_22:24:30,idle1.00end of line
04/28/2022_22:24:33,idle1.00end of line
04/28/2022_22:24:37,idle1.00end of line
04/28/2022_22:24:40,idle1.00end of line
04/28/2022_22:24:43,idle1.00end of line
04/28/2022_22:24:46,idle1.00end of line
04/28/2022_22:24:49,idle1.00end of line
04/28/2022_22:24:52,idle1.00end of line
04/28/2022_22:24:55,idle1.00end of line
04/28/2022_22:24:58,idle1.00end of line
04/28/2022_22:25:01,idle1.00end of line
04/28/2022_22:25:04,idle1.00end of line
04/28/2022_22:25:08,idle1.00end of line
04/28/2022_22:25:11,idle1.00end of line
04/28/2022_22:25:14,idle1.00end of line
04/28/2022_22:25:17,idle1.00end of line
04/28/2022_22:25:20,idle1.00end of line
04/28/2022_22:25:23,idle1.00end of line
04/28/2022_22:25:26,idle1.00end of line
04/28/2022_22:25:29,idle1.00end of line
04/28/2022_22:25:33,idle1.00end of line
04/28/2022_22:25:36,idle1.00end of line
04/28/2022_22:25:39,idle1.00end of line
04/28/2022_22:25:42,idle1.00end of line
04/28/2022_22:25:45,idle1.00end of line
04/28/2022_22:25:48,idle1.00end of line
04/28/2022_22:25:51,idle1.00end of line
04/28/2022_22:25:54,idle1.00end of line
04/28/2022_22:25:57,idle1.00end of line
04/28/2022_22:26:00,idle1.00end of line
04/28/2022_22:26:04,idle1.00end of line
04/28/2022_22:26:07,idle1.00end of line
04/28/2022_22:26:10,idle1.00end of line
04/28/2022_22:26:13,idle1.00end of line
04/28/2022_22:26:16,idle1.00end of line
04/28/2022_22:26:19,idle1.00end of line
04/28/2022_22:26:22,idle1.00end of line
04/28/2022_22:26:25,idle1.00end of line
04/28/2022_22:26:28,idle1.00end of line
04/28/2022_22:26:31,idle1.00end of line
04/28/2022_22:26:35,idle1.00end of line
04/28/2022_22:26:38,idle1.00end of line
04/28/2022_22:26:41,idle1.00end of line
04/28/2022_22:26:44,idle1.00end of line
04/28/2022_22:26:47,idle1.00end of line
04/28/2022_22:26:50,idle1.00end of line
04/28/2022_22:26:53,idle1.00end of line
04/28/2022_22:26:56,idle1.00end of line
04/28/2022_22:26:59,idle1.00end of line
04/28/2022_22:27:03,idle1.00end of line
04/28/2022_22:27:06,idle1.00end of line
04/28/2022_22:27:09,idle1.00end of line
04/28/2022_22:27:12,idle1.00end of line
04/28/2022_22:27:15,idle1.00end of line
04/28/2022_22:27:18,idle1.00end of line
04/28/2022_22:27:21,idle1.00end of line
04/28/2022_22:27:24,idle1.00end of line
04/28/2022_22:27:27,idle1.00end of line
04/28/2022_22:27:31,idle1.00end of line
04/28/2022_22:27:34,idle1.00end of line
04/28/2022_22:27:37,idle1.00end of line
04/28/2022_22:27:40,idle1.00end of line
04/28/2022_22:27:43,idle1.00end of line
04/28/2022_22:27:46,idle1.00end of line
04/28/2022_22:27:49,idle1.00end of line
04/28/2022_22:27:52,idle1.00end of line
04/28/2022_22:27:55,idle1.00end of line
04/28/2022_22:27:59,idle1.00end of line
04/28/2022_22:28:02,idle1.00end of line
04/28/2022_22:28:05,idle1.00end of line
04/28/2022_22:28:08,idle1.00end of line
04/28/2022_22:28:11,idle1.00end of line
04/28/2022_22:28:14,idle1.00end of line
04/28/2022_22:28:17,idle1.00end of line
04/28/2022_22:28:20,idle1.00end of line
04/28/2022_22:28:23,idle1.00end of line
04/28/2022_22:28:27,idle1.00end of line
04/28/2022_22:28:30,idle1.00end of line
04/28/2022_22:28:33,idle1.00end of line
04/28/2022_22:28:36,idle1.00end of line
04/28/2022_22:28:39,idle1.00end of line
04/28/2022_22:28:42,idle1.00end of line
04/28/2022_22:28:45,idle1.00end of line
04/28/2022_22:28:48,idle1.00end of line
04/28/2022_22:28:51,idle1.00end of line
04/28/2022_22:28:55,idle1.00end of line
04/28/2022_22:28:58,idle1.00end of line
04/28/2022_22:29:01,idle1.00end of line
04/28/2022_22:29:04,idle1.00end of line
04/28/2022_22:29:07,idle1.00end of line
04/28/2022_22:29:10,idle1.00end of line
04/28/2022_22:29:13,idle1.00end of line
04/28/2022_22:29:16,idle1.00end of line
04/28/2022_22:29:19,idle1.00end of line
04/28/2022_22:29:23,idle1.00end of line
04/28/2022_22:29:26,idle1.00end of line
04/28/2022_22:29:29,idle1.00end of line
04/28/2022_22:29:32,idle1.00end of line
04/28/2022_22:29:35,idle1.00end of line
04/28/2022_22:29:38,idle1.00end of line
04/28/2022_22:29:41,idle1.00end of line
04/28/2022_22:29:44,idle1.00end of line
04/28/2022_22:29:47,idle1.00end of line
04/28/2022_22:29:50,idle1.00end of line
04/28/2022_22:29:54,idle1.00end of line
04/28/2022_22:29:57,idle1.00end of line
04/28/2022_22:30:00,idle1.00end of line
04/28/2022_22:30:03,idle1.00end of line
04/28/2022_22:30:06,idle1.00end of line
04/28/2022_22:30:09,idle1.00end of line
04/28/2022_22:30:12,idle1.00end of line
04/28/2022_22:30:15,idle1.00end of line
04/28/2022_22:30:18,idle1.00end of line
04/28/2022_22:30:22,idle1.00end of line
04/28/2022_22:30:25,idle1.00end of line
04/28/2022_22:30:28,idle1.00end of line
04/28/2022_22:30:31,idle1.00end of line
04/28/2022_22:30:34,idle1.00end of line
04/28/2022_22:30:37,idle1.00end of line
04/28/2022_22:30:40,idle1.00end of line
04/28/2022_22:30:43,idle1.00end of line
04/28/2022_22:30:46,idle1.00end of line
04/28/2022_22:30:49,idle1.00end of line
04/28/2022_22:30:53,idle1.00end of line
04/28/2022_22:30:56,idle1.00end of line
04/28/2022_22:30:59,idle1.00end of line
04/28/2022_22:31:02,idle1.00end of line
04/28/2022_22:31:05,idle1.00end of line
04/28/2022_22:31:08,idle1.00end of line
04/28/2022_22:31:11,idle1.00end of line
04/28/2022_22:31:14,idle1.00end of line
04/28/2022_22:31:18,idle1.00end of line
04/28/2022_22:31:21,idle1.00end of line
04/28/2022_22:31:24,idle1.00end of line
04/28/2022_22:31:27,idle1.00end of line
04/28/2022_22:31:30,idle1.00end of line
04/28/2022_22:31:33,idle1.00end of line
04/28/2022_22:31:36,idle1.00end of line
04/28/2022_22:31:39,idle1.00end of line
04/28/2022_22:31:42,idle1.00end of line
04/28/2022_22:31:45,idle1.00end of line
04/28/2022_22:31:49,idle1.00end of line
04/28/2022_22:31:52,idle1.00end of line
04/28/2022_22:31:55,idle1.00end of line
04/28/2022_22:31:58,idle1.00end of line
04/28/2022_22:32:01,idle1.00end of line
04/28/2022_22:32:04,idle1.00end of line
04/28/2022_22:32:07,idle1.00end of line
04/28/2022_22:32:10,idle1.00end of line
04/28/2022_22:32:13,idle1.00end of line
04/28/2022_22:32:17,idle1.00end of line
04/28/2022_22:32:20,idle1.00end of line
04/28/2022_22:32:23,idle1.00end of line
04/28/2022_22:32:26,idle1.00end of line
04/28/2022_22:32:29,idle1.00end of line
04/28/2022_22:32:32,idle1.00end of line
04/28/2022_22:32:35,idle1.00end of line
04/28/2022_22:32:38,idle1.00end of line
04/28/2022_22:32:42,idle1.00end of line
04/28/2022_22:32:45,idle1.00end of line
04/28/2022_22:32:48,idle1.00end of line
04/28/2022_22:32:51,idle1.00end of line
04/28/2022_22:32:54,idle1.00end of line
04/28/2022_22:32:57,idle1.00end of line
04/28/2022_22:33:00,idle1.00end of line
04/28/2022_22:33:03,idle1.00end of line
04/28/2022_22:33:06,idle1.00end of line
04/28/2022_22:33:09,idle1.00end of line
04/28/2022_22:33:13,idle1.00end of line
04/28/2022_22:33:16,idle1.00end of line
04/28/2022_22:33:19,idle1.00end of line
04/28/2022_22:33:22,idle1.00end of line
04/28/2022_22:33:25,idle1.00end of line
04/28/2022_22:33:28,idle1.00end of line
04/28/2022_22:33:31,idle1.00end of line
04/28/2022_22:33:34,idle1.00end of line
04/28/2022_22:33:37,idle1.00end of line
04/28/2022_22:33:40,idle1.00end of line
04/28/2022_22:33:44,idle1.00end of line
04/28/2022_22:33:47,idle1.00end of line
04/28/2022_22:33:50,idle1.00end of line
04/28/2022_22:33:53,idle1.00end of line
04/28/2022_22:33:56,idle1.00end of line
04/28/2022_22:33:59,idle1.00end of line
04/28/2022_22:34:02,idle1.00end of line
04/28/2022_22:34:05,idle1.00end of line
04/28/2022_22:34:09,idle1.00end of line
04/28/2022_22:34:12,idle1.00end of line
04/28/2022_22:34:15,idle1.00end of line
04/28/2022_22:34:18,idle1.00end of line
04/28/2022_22:34:21,idle1.00end of line
04/28/2022_22:34:24,idle1.00end of line
04/28/2022_22:34:27,idle1.00end of line
04/28/2022_22:34:30,idle1.00end of line
04/28/2022_22:34:33,idle1.00end of line
04/28/2022_22:34:36,idle1.00end of line
04/28/2022_22:34:40,idle1.00end of line
04/28/2022_22:34:43,idle1.00end of line
04/28/2022_22:34:46,idle1.00end of line
04/28/2022_22:34:49,idle1.00end of line
04/28/2022_22:34:52,idle1.00end of line
04/28/2022_22:34:55,idle1.00end of line
04/28/2022_22:34:58,idle1.00end of line
04/28/2022_22:35:01,idle1.00end of line
04/28/2022_22:35:04,idle1.00end of line
04/28/2022_22:35:08,idle1.00end of line
04/28/2022_22:35:11,idle1.00end of line
04/28/2022_22:35:14,idle1.00end of line
04/28/2022_22:35:17,idle1.00end of line
04/29/2022_21:41:18,idle1.00end of line
04/29/2022_21:41:22,idle1.00end of line
04/29/2022_21:41:25,fall0.99end of line
04/29/2022_21:41:30,fall1.00end of line
04/29/2022_21:41:32,idle0.89end of line
04/29/2022_21:41:34,idle1.00end of line
04/29/2022_21:41:37,idle1.00end of line
04/29/2022_21:41:40,idle1.00end of line
04/29/2022_21:41:43,idle1.00end of line
04/29/2022_21:41:46,idle1.00end of line
04/29/2022_21:41:50,idle1.00end of line
04/29/2022_21:41:53,idle1.00end of line
04/29/2022_21:41:56,idle1.00end of line
04/29/2022_21:41:59,idle1.00end of line
04/29/2022_21:42:02,idle1.00end of line
04/29/2022_21:42:05,idle1.00end of line
04/29/2022_21:42:08,idle1.00end of line
04/29/2022_21:42:11,idle1.00end of line
04/29/2022_21:42:14,idle1.00end of line
04/29/2022_21:42:18,idle1.00end of line
04/29/2022_21:42:21,idle1.00end of line
04/29/2022_21:42:24,idle1.00end of line
04/29/2022_21:42:27,idle1.00end of line
04/29/2022_21:42:30,idle1.00end of line
04/29/2022_21:42:33,idle1.00end of line
04/29/2022_21:42:36,idle1.00end of line
04/29/2022_21:42:39,idle1.00end of line
04/29/2022_21:42:42,idle1.00end of line
04/29/2022_21:42:45,idle1.00end of line
04/29/2022_21:42:49,idle1.00end of line
04/29/2022_21:42:52,idle1.00end of line
04/29/2022_21:42:55,idle1.00end of line
04/29/2022_21:42:58,idle1.00end of line
04/29/2022_21:43:01,idle1.00end of line
04/29/2022_21:43:04,idle1.00end of line
04/29/2022_21:43:07,idle1.00end of line
04/29/2022_21:43:10,idle1.00end of line
04/29/2022_21:43:13,idle1.00end of line
04/29/2022_21:43:17,idle1.00end of line
04/29/2022_21:43:20,idle1.00end of line
04/29/2022_21:43:23,idle1.00end of line
04/29/2022_21:43:26,idle1.00end of line
04/29/2022_21:43:29,idle1.00end of line
04/29/2022_21:43:32,idle1.00end of line
04/29/2022_21:43:35,idle1.00end of line
04/29/2022_21:43:38,idle1.00end of line
04/29/2022_21:43:41,idle1.00end of line
04/29/2022_21:43:45,idle1.00end of line
04/29/2022_21:43:48,idle1.00end of line
04/29/2022_21:43:51,idle1.00end of line
04/29/2022_21:43:54,idle1.00end of line
04/29/2022_21:43:57,idle1.00end of line
04/29/2022_21:44:00,idle1.00end of line
04/29/2022_21:44:03,idle1.00end of line
04/29/2022_21:44:06,idle1.00end of line
04/29/2022_21:44:09,idle1.00end of line
04/29/2022_21:44:13,idle1.00end of line
04/29/2022_21:44:16,idle1.00end of line
04/29/2022_21:44:19,idle1.00end of line
04/29/2022_21:44:22,idle1.00end of line
04/29/2022_21:44:25,idle1.00end of line
04/29/2022_21:44:28,idle1.00end of line
04/29/2022_21:44:31,normal_walk0.92end of line
04/29/2022_21:44:34,parkinsonian_gait1.00end of line
04/29/2022_21:44:38,ataxic_gait0.72end of line
04/29/2022_21:44:41,ataxic_gait0.89end of line
04/29/2022_21:44:44,ataxic_gait0.89end of line
04/29/2022_21:44:47,parkinsonian_gait1.00end of line
04/29/2022_21:44:50,normal_walk0.90end of line
04/29/2022_21:44:53,idle1.00end of line
04/29/2022_21:44:56,idle1.00end of line
04/29/2022_21:44:59,idle1.00end of line
04/29/2022_21:45:02,idle1.00end of line
04/29/2022_21:45:05,idle1.00end of line
04/29/2022_21:45:09,idle1.00end of line
04/29/2022_21:45:12,idle1.00end of line
04/29/2022_21:45:15,idle1.00end of line
04/29/2022_21:45:18,idle1.00end of line
04/29/2022_21:45:21,idle1.00end of line
04/29/2022_21:45:24,idle1.00end of line
04/29/2022_21:45:27,idle1.00end of line
04/29/2022_21:45:30,idle1.00end of line
04/29/2022_21:45:34,idle1.00end of line
04/29/2022_21:45:37,idle1.00end of line
04/29/2022_21:45:40,idle1.00end of line
04/29/2022_21:45:43,idle1.00end of line
04/29/2022_21:45:46,idle1.00end of line
04/29/2022_21:45:49,idle1.00end of line
04/29/2022_21:45:52,idle1.00end of line
04/29/2022_21:45:55,idle1.00end of line
04/29/2022_21:45:58,idle1.00end of line
04/29/2022_21:46:01,idle1.00end of line
04/29/2022_21:46:05,idle1.00end of line
04/29/2022_21:46:08,idle1.00end of line
04/29/2022_21:46:11,idle1.00end of line
04/29/2022_21:46:14,idle1.00end of line
04/29/2022_21:46:17,idle1.00end of line
04/29/2022_21:46:20,idle1.00end of line
04/29/2022_21:46:23,idle1.00end of line
04/29/2022_21:46:26,idle1.00end of line
04/29/2022_21:46:29,idle1.00end of line
04/29/2022_21:46:32,idle1.00end of line
04/29/2022_21:46:36,idle1.00end of line
04/29/2022_21:46:39,idle1.00end of line
04/29/2022_21:46:42,idle1.00end of line
04/29/2022_21:46:45,idle1.00end of line
04/29/2022_21:46:48,idle1.00end of line
04/29/2022_21:46:51,idle1.00end of line
04/29/2022_21:46:54,idle1.00end of line
04/29/2022_21:46:57,idle1.00end of line
04/29/2022_21:47:01,idle1.00end of line
04/29/2022_21:47:04,idle1.00end of line
04/29/2022_21:47:07,idle1.00end of line
04/29/2022_21:47:10,idle1.00end of line
04/29/2022_21:47:13,idle1.00end of line
04/29/2022_21:47:16,idle1.00end of line
04/29/2022_21:47:19,idle1.00end of line
04/29/2022_21:47:22,idle1.00end of line
04/29/2022_21:47:25,idle1.00end of line
04/29/2022_21:47:29,idle1.00end of line
04/29/2022_21:47:32,idle1.00end of line
04/29/2022_21:47:35,idle1.00end of line
04/29/2022_21:47:38,idle1.00end of line
04/29/2022_21:47:41,idle1.00end of line
04/29/2022_21:47:44,idle1.00end of line
04/29/2022_21:47:47,idle1.00end of line
04/29/2022_21:47:50,idle1.00end of line
04/29/2022_21:47:53,idle1.00end of line
04/29/2022_21:47:57,idle1.00end of line
04/29/2022_21:48:00,idle1.00end of line
